['ForceDecks Test Results Export', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Athlete 1', '', 'Countermovement Jump', '4/13/2021 08:14', '66.7', 'Trial 1', '', '', '', '109.70', '40.69', '0.328', '3796', '299', '40.4', '75.1', '184.6', '', '1270', '28.2', '1879', '22.6', '1506', '2.85', '-2014', '-2083', '-624', '0.0', '0', '253.2', '16887.8', '218.2', '14550.9', '219.8', '14660.7', '0', '159.0', '806', '-40.1', '169.6', '51.6', '0.316', '52.2', '39', '2585', '63', '4224', '101.1', '0.191', '67', '4451', '507', '813.2', '1183.1', '655', '7.738', '516', '22.8', '1521', '1365', '-1.519', '-101.3', '0.71', '1.13', '575', '1388', '1506', '40.5', '16.0', '38.8', '39.0', '15.3', '3494.10', '1269.5', '120.9', '0.486', '0.753', '104.6', '80.0', '13.0', '54.1', '3610', '12.780', '537.6', '291.4', '0.50', '3.711', '4.039', '3.848', '3.532', '3.532', '19.404', '22.8', '1521', '0.179', '826', '2.600', '992.330', '76.409', '36.622', '40218', '793.107', '36.622', '46', '3097', '6822', '0.822', '', '-0.3', '-0.8', '-2.6', '-2.9', '', '-2.9', '-0.4', '0.0', '', '6.1', '10.3', '40.5', '-4.2', '5.2', '-13.7', '3.4', '-0.3', '-0.6', '-3.9', '-0.5', '-3.3', '-2.4', '4.8', '0.0', '', '-0.3', '13.7', '-0.6', '', '', '1902', '1897', '36.7', '36.4', '71.2', '69.3', '192.8', '187.3', '', '', '644', '626', '755', '752', '0', '0', '', '', '49.9', '53.2', '126.1', '140.6', '909', '1527', '2130', '2041', '110.0', '116.1', '2389', '2062', '322', '333', '762', '760', '52.8', '52.5', '708', '680', '755', '752', '102.7', '99.3', '90.1', '88.0', '559.4', '587.8', '300.7', '300.7', '', '', '762', '760', '26074', '30227', '2008', '1995', '20.5', '0.38', '0.77', '2.76', '0.3', '39.2', '69.5', '46.8', '1.0', '16.2', '0.37', '0.37', '-871', '-1212', '-231', '-392', '-816', '-1198', '0.88', '0.89', '36.9', '44.0']
['Athlete 1', '', 'Countermovement Jump', '4/13/2021 08:14', '66.7', 'Trial 2', '', '', '', '101.53', '40.29', '0.332', '3692', '327', '45.5', '78.8', '190.1', '', '1234', '28.6', '1907', '25.0', '1666', '2.94', '-4600', '-4415', '-2081', '0.0', '0', '289.2', '19289.6', '214.8', '14329.9', '198.4', '13234.2', '0', '165.8', '824', '-45.9', '152.0', '53.0', '0.320', '51.5', '20', '1330', '72', '4788', '119.2', '0.177', '85', '5690', '497', '809.4', '1326.4', '654', '9.034', '603', '25.4', '1694', '1822', '-1.791', '-119.5', '0.73', '1.21', '603', '1345', '1666', '44.6', '17.5', '41.2', '41.3', '16.3', '3525.94', '1361.5', '76.4', '0.480', '0.769', '110.1', '80.0', '15.6', '54.1', '3607', '15.172', '586.2', '315.2', '0.54', '11.635', '11.967', '11.790', '11.470', '11.470', '19.304', '25.4', '1694', '0.165', '925', '2.683', '1032.125', '73.281', '39.163', '46004', '890.160', '39.163', '49', '3266', '8481', '0.925', '', '4.8', '3.0', '0.5', '-9.1', '', '-9.1', '3.4', '0.0', '', '12.3', '7.2', '30.9', '4.8', '4.9', '-8.1', '3.5', '4.8', '0.0', '-11.6', '3.4', '-3.2', '-15.5', '-10.8', '-3.1', '', '4.8', '-62.8', '-59.2', '', '', '1805', '1896', '38.5', '39.7', '71.9', '72.3', '211.6', '192.4', '', '', '647', '588', '819', '847', '0', '0', '', '', '49.7', '56.7', '129.3', '139.4', '526', '761', '2318', '2434', '114.5', '120.4', '2966', '2725', '321', '333', '828', '870', '44.9', '44.9', '714', '631', '819', '847', '110.1', '106.6', '101.5', '85.8', '646.0', '576.0', '322.3', '312.2', '', '', '828', '870', '34470', '12814', '2447', '1000', '27.3', '0.51', '0.73', '2.85', '9.5', '34.1', '74.7', '25.5', '-12.7', '-32.0', '0.34', '0.38', '-1886', '-2529', '-758', '-1324', '-2040', '-2560', '0.92', '0.80', '50.6', '34.4']
['Athlete 1', '', 'Countermovement Jump', '4/13/2021 08:14', '66.7', 'Trial 3', '', '', '', '97.50', '39.15', '0.312', '3788', '320', '47.5', '82.8', '189.8', '', '1246', '29.0', '1936', '25.7', '1711', '2.92', '-4564', '-4600', '-2380', '0.0', '0', '309.9', '20668.1', '229.6', '15314.7', '195.7', '13053.5', '0', '167.1', '797', '-46.0', '149.1', '52.5', '0.305', '60.3', '32', '2121', '80', '5317', '123.0', '0.172', '92', '6122', '477', '847.4', '1368.4', '654', '9.431', '629', '26.1', '1742', '2008', '-1.852', '-123.5', '0.78', '1.30', '618', '1306', '1711', '46.8', '18.4', '40.9', '41.1', '16.2', '3674.53', '1449.8', '52.3', '0.455', '0.744', '114.9', '74.9', '16.3', '52.4', '3498', '15.849', '577.7', '318.1', '0.59', '18.258', '18.570', '18.398', '18.093', '18.093', '19.304', '26.1', '1742', '0.165', '922', '2.679', '680.760', '38.123', '16.952', '31871', '798.733', '16.952', '27', '1785', '4752', '0.917', '', '2.2', '0.8', '1.2', '-4.6', '', '-4.6', '1.4', '0.0', '', '9.0', '1.2', '59.6', '12.8', '0.3', '1.8', '4.6', '2.2', '17.1', '-11.1', '1.4', '0.9', '-11.0', '-1.3', '-2.5', '', '2.2', '55.3', '-9.8', '', '', '1874', '1916', '40.0', '40.3', '73.6', '74.6', '204.3', '194.8', '', '', '638', '608', '850', '862', '0', '0', '', '', '50.1', '55.0', '131.4', '133.0', '427', '1057', '2319', '2658', '117.6', '117.9', '3034', '3088', '319', '335', '861', '881', '34.4', '41.5', '691', '614', '850', '862', '109.3', '110.3', '95.0', '84.6', '595.8', '588.1', '319.3', '311.4', '', '', '861', '881', '16526', '36960', '1025', '924', '30.1', '0.57', '0.65', '2.84', '5.8', '0.5', '33.4', '-1.6', '-11.8', '-65.4', '0.36', '0.38', '-2294', '-2306', '-1020', '-1360', '-2300', '-2264', '0.87', '0.77', '41.2', '14.3']
['Athlete 2', 'aharbau2', 'Countermovement Jump', '4/12/2021 15:51', '62.1', 'Trial 1', '', '', '', '128.02', '47.12', '0.434', '4330', '339', '22.3', '37.8', '127.1', '6518', '983', '16.8', '1041', '22.0', '1364', '2.19', '-2068', '-2199', '123', '17.3', '1072', '114.1', '7085.0', '85.3', '5300.1', '147.0', '9125.7', '253', '158.2', '921', '-31.5', '171.7', '62.0', '0.372', '22.5', '11', '700', '28', '1729', '58.7', '0.210', '37', '2307', '582', '660.9', '888.2', '609', '5.297', '329', '17.7', '1100', '674', '-0.945', '-58.7', '0.47', '0.74', '432', '1290', '1092', '22.9', '9.0', '21.3', '21.4', '8.4', '2407.83', '642.6', '342.0', '0.835', '0.856', '57.5', '69.7', '12.2', '40.3', '2501', '12.150', '360.1', '194.6', '0.25', '5.174', '5.608', '5.398', '5.026', '5.026', '18.593', '22.0', '1364', '0.148', '546', '1.938', '1991.670', '119.500', '34.216', '45563', '432.397', '34.216', '44', '2734', '5125', '0.402', '', '-1.5', '-3.4', '-5.6', '-4.9', '20.1', '-4.9', '-1.5', '8.7', '', '-13.3', '-21.8', '-10.3', '22.3', '-12.1', '22.7', '-17.6', '-3.9', '-23.5', '1.0', '-4.4', '-8.5', '-1.5', '-16.6', '-7.9', '', '-1.5', '-61.2', '-52.5', '', '', '2188', '2155', '26.8', '25.9', '50.8', '47.9', '171.0', '162.6', '2900', '3630', '504', '479', '689', '679', '512', '560', '', '', '66.3', '57.5', '160.9', '125.8', '663', '595', '835', '1074', '99.3', '87.3', '1006', '1301', '334', '275', '563', '541', '95.1', '72.8', '642', '648', '558', '534', '83.7', '76.7', '87.3', '85.9', '605.3', '505.0', '267.1', '246.0', '', '', '689', '679', '46427', '18015', '2275', '1081', '10.9', '0.27', '1.21', '2.05', '-0.7', '21.9', '-100.0', '-6.0', '7.0', '-45.0', '0.30', '0.29', '-991', '-1208', '130', '-6', '-1064', '-1004', '1.04', '1.12', '32.9', '18.1']
['Athlete 2', 'aharbau2', 'Countermovement Jump', '4/12/2021 15:51', '62.1', 'Trial 2', '', '', '', '116.53', '44.59', '0.416', '4190', '357', '25.8', '44.5', '133.0', '7358', '981', '17.5', '1086', '21.8', '1354', '2.26', '-1758', '-2453', '-1152', '11.9', '740', '140.4', '8716.4', '103.7', '6436.9', '141.1', '8759.3', '272', '162.0', '933', '-32.3', '161.3', '62.1', '0.368', '27.2', '32', '1957', '34', '2089', '58.6', '0.208', '42', '2621', '576', '674.6', '890.6', '609', '5.494', '341', '18.6', '1154', '672', '-0.946', '-58.8', '0.47', '0.77', '441', '1297', '1153', '23.8', '9.4', '23.3', '23.3', '9.2', '2690.45', '671.9', '283.8', '0.848', '0.870', '61.2', '71.8', '12.0', '41.5', '2579', '12.002', '372.4', '198.9', '0.26', '11.920', '12.336', '12.128', '11.760', '11.760', '19.793', '21.8', '1354', '0.160', '585', '1.988', '1506.718', '103.964', '30.105', '35920', '509.944', '30.105', '40', '2478', '4722', '0.621', '', '-4.5', '-5.1', '-4.3', '3.0', '-28.0', '3.0', '-4.5', '-12.1', '', '-17.4', '-18.9', '-55.6', '-3.8', '-15.5', '27.1', '-14.8', '-3.4', '-14.1', '-0.2', '-3.1', '1.7', '4.2', '-13.7', '-4.4', '', '-4.5', '-42.6', '-34.2', '', '', '2145', '2048', '28.9', '27.4', '53.8', '51.5', '172.6', '177.9', '4298', '3096', '483', '498', '693', '662', '394', '346', '', '', '68.1', '56.3', '155.0', '125.6', '1338', '594', '1063', '1022', '100.4', '84.8', '1105', '1516', '329', '280', '587', '567', '88.9', '76.4', '649', '648', '586', '567', '84.1', '85.5', '88.5', '92.4', '578.4', '499.2', '270.7', '258.9', '', '', '693', '662', '25665', '14723', '1745', '1148', '10.8', '0.26', '1.17', '2.14', '-7.2', '-26.3', '-56.6', '28.9', '2.6', '-29.0', '0.31', '0.29', '-1369', '-1084', '-703', '-449', '-768', '-990', '1.05', '1.08', '39.4', '27.9']
['Athlete 2', 'aharbau2', 'Countermovement Jump', '4/12/2021 15:51', '62.1', 'Trial 3', '', '', '', '117.10', '44.20', '0.404', '4166', '345', '26.0', '41.4', '131.9', '5564', '990', '17.7', '1098', '21.6', '1339', '2.26', '-2862', '-3196', '-387', '10.0', '624', '136.6', '8485.2', '90.9', '5647.6', '146.1', '9071.2', '258', '160.6', '914', '-32.1', '164.9', '61.5', '0.350', '25.0', '17', '1060', '35', '2171', '60.9', '0.219', '42', '2594', '569', '671.1', '887.3', '609', '5.528', '343', '19.0', '1179', '703', '-0.985', '-61.2', '0.49', '0.79', '449', '1269', '1178', '24.7', '9.7', '22.9', '22.9', '9.0', '2733.78', '688.0', '300.5', '0.827', '0.848', '61.3', '70.6', '11.8', '40.8', '2535', '11.751', '374.9', '201.2', '0.27', '18.195', '18.599', '18.380', '18.030', '18.030', '18.593', '21.6', '1339', '0.165', '575', '1.998', '1578.910', '105.787', '32.292', '39019', '483.580', '32.292', '42', '2614', '4588', '0.543', '', '-0.1', '-7.2', '-5.3', '2.0', '-10.8', '2.0', '-0.1', '46.2', '', '-20.4', '-26.1', '-6.4', '11.6', '-19.6', '26.3', '-18.8', '-8.2', '-17.8', '3.2', '-8.0', '-1.9', '5.6', '-10.5', '-7.2', '', '-0.1', '-42.6', '-24.6', '', '', '2085', '2082', '29.3', '27.1', '52.5', '49.8', '169.3', '172.7', '2974', '2652', '490', '500', '670', '669', '218', '406', '', '', '68.6', '54.6', '155.9', '115.2', '787', '737', '1100', '1244', '107.7', '86.6', '1100', '1494', '336', '273', '615', '564', '83.4', '68.6', '624', '645', '614', '564', '83.8', '82.2', '85.5', '90.5', '563.3', '504.0', '274.9', '255.1', '', '', '670', '669', '29509', '16925', '1594', '1202', '11.3', '0.28', '1.15', '2.12', '-7.2', '-42.3', '-100.0', '-31.2', '7.3', '7.0', '0.31', '0.29', '-1877', '-1319', '-322', '-65', '-1624', '-1238', '1.02', '1.10', '28.8', '31.0']
['Athlete 3', 'lcallah5', 'Countermovement Jump', '4/12/2021 15:50', '74.7', 'Trial 1', '', '', '', '113.36', '40.36', '0.314', '5086', '277', '41.3', '79.9', '172.9', '', '1355', '23.4', '1747', '21.0', '1570', '2.42', '-594', '-849', '-533', '8.7', '650', '228.0', '17027.9', '212.5', '15871.6', '190.7', '14243.2', '2', '155.3', '778', '-30.9', '180.9', '54.2', '0.323', '43.7', '42', '3110', '60', '4453', '94.8', '0.178', '63', '4681', '501', '871.6', '1264.5', '734', '6.034', '451', '21.0', '1571', '1248', '-1.265', '-94.5', '0.62', '0.96', '483', '1404', '1568', '28.6', '11.3', '27.4', '27.4', '10.8', '4534.89', '1174.7', '170.3', '0.496', '0.719', '107.8', '65.1', '11.2', '41.7', '3111', '11.208', '534.1', '275.7', '0.37', '8.147', '8.461', '8.283', '7.960', '7.960', '19.557', '21.0', '1571', '0.187', '712', '2.217', '1406.396', '95.635', '26.805', '40219', '789.078', '26.805', '37', '2735', '5544', '0.961', '', '-11.8', '-11.0', '-9.2', '-7.3', '', '-7.4', '-11.8', '-100.0', '', '-8.0', '-11.2', '30.3', '-2.1', '-10.4', '-13.4', '-14.7', '-11.8', '-21.2', '-4.9', '-11.9', '-8.4', '-6.0', '-11.2', '-8.3', '', '-11.8', '-48.8', '-46.6', '', '', '2706', '2386', '41.2', '36.7', '80.3', '72.9', '195.0', '180.7', '', '', '703', '651', '836', '737', '650', '0', '', '', '56.3', '51.9', '145.0', '128.7', '1468', '2106', '2342', '2292', '118.8', '106.4', '2509', '2172', '396', '338', '836', '737', '79.5', '62.6', '719', '684', '834', '735', '109.0', '99.9', '86.1', '80.9', '753.0', '668.9', '310.0', '284.3', '', '', '836', '737', '26666', '13644', '1813', '969', '16.7', '0.40', '0.60', '2.32', '-2.0', '-100.0', '-100.0', '-100.0', '2.5', '-47.6', '0.41', '0.40', '-681', '-168', '-437', '-96', '-544', '-50', '0.79', '0.81', '53.8', '28.2']
['Athlete 3', 'lcallah5', 'Countermovement Jump', '4/12/2021 15:50', '74.7', 'Trial 2', '', '', '', '91.49', '37.67', '0.301', '4592', '329', '40.3', '73.2', '161.9', '', '1223', '21.0', '1570', '21.4', '1596', '2.38', '-2500', '-2818', '-1189', '0.0', '0', '212.2', '15852.6', '172.3', '12873.6', '155.4', '11611.2', '0', '170.0', '799', '-35.3', '142.9', '60.0', '0.292', '58.3', '60', '4460', '68', '5069', '110.6', '0.178', '65', '4848', '470', '926.1', '1352.6', '734', '7.340', '548', '21.7', '1619', '1577', '-1.477', '-110.3', '0.57', '0.97', '458', '1342', '1596', '25.7', '10.1', '24.0', '24.0', '9.5', '4393.23', '1214.5', '70.0', '0.440', '0.721', '108.1', '53.7', '11.9', '39.1', '2919', '11.555', '534.8', '288.0', '0.32', '16.405', '16.706', '16.528', '16.236', '16.236', '19.557', '21.7', '1619', '0.169', '776', '2.176', '1581.565', '112.291', '28.847', '40668', '649.247', '28.847', '39', '2887', '5766', '0.850', '', '-3.1', '-1.4', '1.3', '9.3', '', '9.2', '-2.6', '0.0', '', '-19.9', '-2.8', '-37.5', '-10.5', '-4.6', '0.2', '-11.8', '-3.1', '-26.7', '6.0', '-2.6', '1.1', '18.9', '24.3', '0.9', '', '-3.1', '41.9', '31.3', '', '', '2337', '2265', '38.7', '38.2', '72.8', '73.7', '191.7', '211.2', '', '', '582', '641', '808', '788', '0', '0', '', '', '67.0', '53.6', '141.4', '137.5', '2887', '1803', '2657', '2378', '123.3', '117.7', '2422', '2426', '390', '344', '824', '798', '59.8', '43.8', '650', '692', '808', '787', '113.5', '114.8', '78.2', '96.4', '591.2', '781.0', '314.7', '317.6', '', '', '824', '798', '19773', '34058', '1404', '2044', '21.1', '0.54', '0.50', '2.17', '-8.1', '-40.6', '-20.6', '-69.4', '18.0', '51.8', '0.38', '0.35', '-1647', '-1171', '-650', '-539', '-1572', '-928', '0.69', '0.84', '21.0', '43.5']
['Athlete 3', 'lcallah5', 'Countermovement Jump', '4/12/2021 15:50', '74.7', 'Trial 3', '', '', '', '105.65', '41.30', '0.299', '5040', '283', '42.0', '78.3', '171.6', '', '1337', '22.8', '1707', '21.6', '1612', '2.41', '-1984', '-2069', '-662', '0.0', '0', '223.9', '16721.7', '195.5', '14600.2', '186.6', '13940.4', '0', '164.2', '724', '-32.1', '155.8', '54.8', '0.265', '52.3', '55', '4144', '67', '5034', '99.9', '0.176', '67', '5015', '441', '907.5', '1299.4', '733', '7.115', '532', '21.6', '1616', '1341', '-1.342', '-100.2', '0.68', '1.11', '491', '1412', '1612', '29.6', '11.6', '26.8', '26.8', '10.5', '4705.29', '1371.0', '107.2', '0.434', '0.662', '105.7', '65.9', '11.8', '41.3', '3088', '11.780', '548.2', '280.2', '0.41', '23.954', '24.253', '24.077', '23.812', '23.812', '19.557', '21.6', '1616', '0.142', '720', '2.188', '1032.500', '64.015', '15.519', '30513', '823.872', '15.519', '25', '1892', '4457', '1.020', '', '-10.7', '-10.9', '-10.9', '-5.0', '', '-5.0', '-10.9', '0.0', '', '-5.9', '-9.6', '14.0', '-7.4', '-10.2', '-12.0', '-10.6', '-10.7', '-11.5', '1.1', '-10.9', '-10.7', '2.4', '-7.9', '-7.7', '', '-10.7', '-17.7', '-28.3', '', '', '2666', '2379', '41.6', '37.0', '80.2', '71.4', '194.3', '184.6', '', '', '686', '651', '852', '760', '0', '0', '', '', '56.4', '53.1', '142.5', '128.8', '1970', '2292', '2627', '2431', '120.6', '108.2', '2668', '2348', '387', '346', '855', '763', '49.8', '44.1', '702', '710', '852', '760', '110.4', '98.6', '83.9', '86.0', '684.1', '630.3', '312.2', '288.2', '', '', '855', '763', '19195', '15806', '1190', '854', '18.0', '0.43', '0.62', '2.29', '-6.2', '-3.6', '-100.0', '-2.4', '12.9', '-34.4', '0.41', '0.39', '-1053', '-1016', '-535', '-127', '-1004', '-980', '0.76', '0.87', '36.5', '24.0']
['Athlete 4', 'amchugh3', 'Countermovement Jump', '4/12/2021 15:48', '51.4', 'Trial 1', '', '', '', '138.10', '44.23', '0.406', '3882', '294', '18.0', '38.2', '116.6', '2144', '899', '20.9', '1073', '21.7', '1113', '2.39', '844', '1065', '1379', '26.8', '1379', '119.9', '6161.6', '136.5', '7016.4', '186.6', '9592.1', '200', '147.1', '918', '-28.7', '212.2', '56.1', '0.350', '27.4', '26', '1351', '27', '1387', '45.0', '0.274', '24', '1214', '624', '571.5', '668.3', '504', '4.500', '231', '16.3', '838', '501', '-0.874', '-44.9', '0.51', '0.75', '471', '1041', '838', '27.2', '10.7', '26.2', '26.3', '10.3', '1963.65', '546.4', '274.4', '0.824', '0.856', '60.7', '55.9', '11.9', '43.3', '2227', '11.851', '287.3', '167.6', '0.30', '3.187', '3.593', '3.319', '2.969', '2.969', '19.662', '21.7', '1113', '0.218', '461', '2.140', '3403.997', '149.776', '69.435', '92568', '333.611', '69.435', '79', '4073', '7681', '0.449', '', '5.7', '16.6', '14.9', '10.1', '-15.6', '10.1', '5.7', '-17.7', '', '-14.4', '0.9', '16.5', '24.8', '4.0', '35.3', '-4.8', '13.0', '-16.0', '8.1', '13.2', '12.4', '7.7', '-6.5', '7.4', '', '5.7', '-11.5', '-9.4', '', '', '1884', '1997', '19.6', '23.6', '40.7', '47.9', '125.3', '139.4', '1190', '1004', '425', '473', '540', '573', '756', '623', '', '', '60.7', '52.0', '115.5', '116.5', '595', '713', '594', '789', '89.7', '93.4', '477', '737', '258', '246', '390', '448', '71.5', '60.0', '498', '542', '389', '448', '62.9', '71.8', '62.4', '67.6', '389.9', '364.6', '212.9', '229.9', '', '', '540', '573', '50384', '44611', '2166', '1963', '9.7', '0.22', '0.92', '2.27', '5.3', '-15.1', '-17.7', '63.9', '-5.1', '-5.5', '0.33', '0.34', '576', '489', '756', '623', '224', '620', '0.99', '0.94', '24.4', '23.1']
['Athlete 4', 'amchugh3', 'Countermovement Jump', '4/12/2021 15:48', '51.4', 'Trial 2', '', '', '', '138.87', '48.44', '0.418', '3315', '301', '24.6', '47.0', '117.3', '2318', '893', '21.7', '1117', '20.6', '1059', '2.41', '-818', '-700', '195', '4.7', '244', '177.7', '9134.4', '165.8', '8522.2', '179.1', '9203.7', '211', '153.6', '863', '-31.9', '186.7', '56.5', '0.315', '20.9', '28', '1462', '37', '1901', '49.3', '0.247', '40', '2042', '562', '554.1', '704.1', '504', '5.563', '286', '19.6', '1008', '531', '-0.963', '-49.5', '0.55', '0.84', '473', '1000', '1007', '27.4', '10.8', '26.5', '26.5', '10.4', '2492.55', '668.1', '212.5', '0.773', '0.799', '68.2', '49.1', '10.8', '42.5', '2184', '10.791', '238.4', '173.5', '0.32', '10.757', '11.175', '10.928', '10.613', '10.613', '17.762', '20.6', '1059', '0.144', '498', '2.183', '2686.894', '123.597', '56.141', '73689', '376.138', '56.141', '66', '3390', '6711', '0.600', '', '4.3', '-6.1', '-4.4', '3.4', '33.6', '3.4', '4.3', '100.0', '', '-19.6', '-14.4', '-12.4', '0.9', '-10.7', '19.9', '-16.7', '-5.6', '-25.6', '9.2', '-5.6', '-3.7', '11.1', '-0.5', '-3.5', '', '4.3', '15.1', '7.4', '', '', '1636', '1708', '25.7', '24.1', '49.8', '47.6', '132.2', '136.9', '930', '1400', '439', '454', '522', '546', '-24', '267', '', '', '62.7', '50.5', '124.8', '106.8', '749', '656', '947', '955', '91.8', '82.0', '908', '1134', '275', '229', '519', '490', '62.7', '46.6', '476', '524', '518', '489', '73.2', '70.6', '59.0', '66.3', '267.5', '266.2', '222.5', '214.6', '', '', '522', '546', '36256', '42698', '1740', '1879', '10.3', '0.24', '0.72', '2.28', '-7.7', '-97.9', '100.0', '-63.9', '14.3', '33.3', '0.38', '0.35', '-465', '-235', '-19', '214', '-508', '-310', '0.80', '0.94', '17.3', '25.9']
['Athlete 4', 'amchugh3', 'Countermovement Jump', '4/12/2021 15:48', '51.4', 'Trial 3', '', '', '', '139.86', '48.22', '0.407', '3411', '291', '24.7', '46.8', '118.0', '2182', '908', '21.9', '1126', '20.9', '1075', '2.40', '-1238', '-810', '270', '5.3', '274', '176.1', '9052.4', '164.8', '8473.1', '188.2', '9674.2', '204', '152.6', '844', '-31.5', '190.0', '55.5', '0.324', '20.3', '27', '1400', '40', '2038', '52.0', '0.229', '44', '2256', '553', '554.2', '731.2', '504', '5.581', '287', '19.8', '1020', '589', '-1.015', '-52.2', '0.56', '0.85', '469', '1030', '1020', '27.0', '10.6', '26.8', '26.8', '10.5', '2630.67', '683.8', '190.2', '0.757', '0.782', '66.5', '51.5', '11.1', '43.2', '2219', '11.116', '328.5', '175.8', '0.32', '18.248', '18.655', '18.426', '18.102', '18.102', '18.962', '20.9', '1075', '0.146', '488', '2.156', '1343.632', '83.305', '33.894', '36229', '404.286', '33.894', '44', '2246', '3731', '0.729', '', '3.5', '-0.3', '0.4', '2.5', '27.8', '2.5', '3.5', '65.5', '', '-10.5', '-5.8', '0.1', '4.3', '-1.8', '13.4', '-8.2', '-1.5', '-17.2', '4.2', '-1.5', '-0.2', '5.3', '-7.1', '0.3', '', '3.5', '-47.0', '-41.0', '', '', '1675', '1736', '25.0', '24.9', '48.5', '48.7', '130.7', '134.0', '930', '1288', '448', '460', '528', '547', '70', '203', '', '', '58.6', '52.5', '116.1', '109.4', '743', '744', '1009', '1055', '84.5', '83.0', '1047', '1209', '263', '241', '514', '506', '60.8', '50.3', '504', '526', '514', '506', '69.9', '69.7', '60.8', '64.3', '476.8', '442.9', '213.1', '213.7', '', '', '528', '547', '24442', '12961', '1515', '894', '11.5', '0.27', '0.77', '2.29', '-2.1', '-18.3', '66.0', '-43.7', '5.5', '-5.2', '0.37', '0.36', '-439', '-371', '68', '201', '-730', '-508', '0.87', '0.92', '36.4', '34.5']
['Athlete 5', '', 'Countermovement Jump', '4/12/2021 15:45', '71.3', 'Trial 1', '', '', '', '128.67', '45.81', '0.377', '6646', '293', '20.7', '41.1', '130.2', '5242', '1142', '15.8', '1123', '20.9', '1487', '1.99', '-198', '328', '1827', '26.9', '1916', '90.2', '6432.5', '92.8', '6613.6', '152.3', '10860.5', '194', '155.3', '823', '-22.4', '180.9', '61.3', '0.297', '26.3', '41', '2948', '30', '2146', '54.5', '0.233', '25', '1784', '530', '768.9', '932.8', '700', '4.131', '295', '15.6', '1116', '601', '-0.763', '-54.4', '0.45', '0.70', '371', '1374', '1115', '16.9', '6.6', '17.0', '17.0', '6.7', '3619.50', '717.5', '306.1', '0.724', '0.754', '67.5', '62.6', '11.0', '34.1', '2434', '11.046', '378.4', '196.1', '0.21', '3.799', '4.176', '3.943', '3.646', '3.646', '19.514', '20.9', '1487', '0.153', '487', '1.772', '829.922', '87.972', '11.011', '14003', '481.720', '11.011', '21', '1484', '2412', '0.641', '', '-5.7', '-6.6', '-5.4', '-10.2', '2.3', '-10.2', '-5.7', '-9.6', '', '13.2', '-0.5', '48.8', '-5.2', '-6.1', '-41.4', '3.4', '-6.7', '15.9', '-14.4', '-6.5', '-5.2', '-15.0', '-5.3', '-7.5', '', '-5.7', '-25.3', '-13.3', '', '', '3451', '3256', '28.8', '26.9', '57.0', '54.0', '176.5', '158.6', '2602', '2662', '601', '540', '772', '728', '1006', '910', '', '', '57.2', '65.9', '145.3', '144.6', '1065', '2081', '1125', '1066', '112.1', '105.2', '1124', '659', '344', '356', '578', '539', '70.0', '83.3', '740', '634', '576', '539', '87.1', '82.5', '89.4', '76.0', '579.2', '548.7', '282.7', '261.6', '', '', '772', '728', '7716', '5765', '818', '709', '8.4', '0.25', '0.93', '1.83', '5.1', '60.4', '-13.3', '-100.0', '-10.3', '-0.9', '0.32', '0.34', '93', '235', '979', '848', '-148', '-50', '1.03', '0.92', '62.4', '61.9']
