['ForceDecks Test Results Export', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Athlete 1', 'nharris', 'Countermovement Jump', '4/12/2021 18:02', '81.4', 'Trial 1', '', '', '', '132.40', '46.95', '0.331', '5883', '250', '60.8', '122.9', '254.6', '1014', '1813', '37.5', '3049', '25.7', '2089', '3.22', '1014', '824', '-1236', '8.8', '712', '369.5', '30077.3', '381.1', '31025.4', '369.0', '30035.2', '152', '154.9', '705', '-35.5', '182.0', '44.1', '0.297', '45.0', '21', '1728', '66', '5394', '115.6', '0.158', '92', '7516', '455', '934.8', '1528.9', '799', '7.637', '622', '24.3', '1981', '1737', '-1.423', '-115.9', '0.90', '1.39', '633', '1967', '1981', '49.1', '19.3', '49.7', '49.8', '19.6', '5027.39', '2107.2', '195.5', '0.607', '0.637', '154.6', '99.9', '15.9', '67.2', '5473', '15.859', '698.7', '377.8', '0.70', '5.674', '6.005', '5.847', '5.550', '5.550', '17.361', '25.7', '2089', '0.124', '1049', '2.783', '2347.457', '138.500', '73.766', '115302', '747.002', '73.766', '84', '6803', '16304', '0.924', '', '-6.6', '-13.5', '-10.2', '-3.7', '80.7', '-3.8', '-6.6', '100.0', '', '-7.3', '-15.2', '-77.1', '-32.8', '-22.1', '-21.0', '-10.8', '-19.1', '14.4', '-1.6', '-19.1', '-8.8', '3.1', '-7.9', '-11.3', '', '-6.6', '3.4', '0.1', '', '', '3089', '2886', '54.0', '46.7', '106.9', '95.9', '231.4', '222.7', '322', '1672', '924', '889', '1097', '1025', '-135', '847', '', '', '45.7', '42.4', '167.3', '141.9', '1270', '291', '3173', '2132', '135.8', '105.9', '4199', '3317', '422', '377', '1095', '886', '55.9', '65.3', '991', '975', '1095', '886', '133.1', '121.3', '98.3', '101.4', '617.5', '568.8', '364.7', '323.6', '', '', '1097', '1025', '57210', '59219', '3433', '3435', '21.3', '0.32', '0.65', '3.12', '-6.7', '100.0', '100.0', '100.0', '11.6', '18.9', '0.46', '0.43', '-378', '1202', '-1264', '28', '-658', '1672', '0.74', '0.84', '46.4', '57.3']
['Athlete 1', 'nharris', 'Countermovement Jump', '4/12/2021 18:02', '81.4', 'Trial 2', '', '', '', '152.79', '51.63', '0.411', '5367', '269', '56.5', '114.1', '259.6', '1350', '1760', '37.0', '3012', '24.8', '2020', '3.29', '954', '371', '127', '8.3', '676', '331.9', '27020.5', '334.3', '27214.0', '331.1', '26948.9', '164', '151.0', '796', '-37.6', '195.9', '45.4', '0.334', '27.9', '16', '1313', '49', '3956', '102.5', '0.193', '71', '5771', '527', '866.8', '1329.5', '799', '6.990', '569', '23.5', '1910', '1278', '-1.261', '-102.7', '0.82', '1.24', '653', '1889', '1909', '52.3', '20.6', '51.8', '51.8', '20.4', '4322.34', '1755.2', '282.9', '0.691', '0.733', '153.6', '106.0', '15.0', '68.2', '5555', '15.008', '679.4', '370.7', '0.66', '14.338', '14.749', '14.556', '14.222', '14.222', '19.161', '24.8', '2020', '0.116', '1114', '2.941', '3141.466', '153.932', '89.040', '164206', '711.445', '89.040', '99', '8046', '19945', '0.727', '', '-8.0', '-18.4', '-13.1', '-3.8', '46.5', '-3.9', '-8.0', '100.0', '', '-10.0', '-14.0', '-68.4', '-33.8', '-19.4', '-18.6', '-13.5', '-18.3', '-3.4', '1.1', '-18.4', '-10.8', '5.1', '-8.0', '-10.5', '', '-8.0', '-14.5', '-5.4', '', '', '2834', '2608', '53.1', '43.3', '103.8', '90.2', '241.8', '232.5', '954', '1784', '898', '863', '1067', '982', '-72', '748', '', '', '47.7', '43.0', '191.4', '164.6', '1078', '341', '2412', '1596', '142.1', '114.5', '3181', '2590', '428', '371', '1052', '860', '83.4', '80.6', '939', '949', '1051', '858', '137.7', '122.8', '104.1', '109.7', '616.9', '567.7', '382.3', '342.0', '', '', '1067', '982', '100896', '86233', '4742', '4484', '15.7', '0.23', '0.69', '3.19', '-9.6', '100.0', '100.0', '100.0', '15.3', '25.8', '0.43', '0.39', '-589', '960', '-397', '524', '-50', '1004', '0.76', '0.89', '47.3', '63.7']
['Athlete 1', 'nharris', 'Countermovement Jump', '4/12/2021 18:02', '81.4', 'Trial 3', '', '', '', '123.62', '38.42', '0.335', '5273', '271', '61.7', '118.8', '259.7', '', '1754', '37.4', '3041', '25.2', '2055', '3.30', '-1126', '-1425', '-759', '10.4', '845', '370.4', '30152.0', '341.1', '27768.9', '325.8', '26518.3', '11', '145.1', '872', '-39.0', '221.8', '45.6', '0.436', '54.8', '14', '1170', '63', '5144', '112.9', '0.165', '93', '7561', '601', '962.6', '1482.1', '800', '6.349', '517', '25.1', '2046', '1592', '-1.383', '-112.6', '0.74', '1.07', '643', '1861', '2046', '50.7', '20.0', '51.9', '52.0', '20.5', '4421.76', '1495.2', '322.5', '0.612', '0.806', '157.9', '101.8', '15.4', '66.9', '5444', '15.442', '691.2', '381.0', '0.58', '23.763', '24.098', '23.933', '23.497', '23.497', '19.861', '25.2', '2055', '0.266', '1138', '2.925', '2051.322', '110.771', '59.163', '103965', '740.210', '59.163', '69', '5614', '14536', '0.640', '', '-9.5', '-11.5', '-13.2', '-12.8', '', '-12.8', '-9.5', '-85.2', '', '7.0', '-7.0', '13.5', '-13.5', '-6.9', '-9.8', '-6.3', '-8.5', '-5.6', '-10.1', '-8.5', '-13.5', '-11.9', '-34.0', '-10.6', '', '-9.5', '-46.5', '-32.6', '', '', '2774', '2511', '53.9', '47.7', '106.3', '92.3', '254.3', '221.7', '', '', '937', '817', '1081', '978', '736', '109', '', '', '44.1', '47.4', '167.0', '155.3', '632', '731', '2831', '2448', '126.7', '117.9', '3976', '3585', '413', '387', '1069', '978', '121.1', '114.4', '980', '881', '1069', '977', '142.5', '123.2', '111.8', '98.5', '744.4', '491.2', '377.3', '337.3', '', '', '1081', '978', '77091', '41256', '4163', '2805', '19.6', '0.29', '0.64', '3.19', '-0.4', '100.0', '13.2', '-100.0', '1.8', '-27.1', '0.42', '0.42', '-409', '-1016', '-356', '-403', '88', '-1214', '0.78', '0.80', '63.8', '46.5']
['Athlete 2', 'pkavanag', 'Countermovement Jump', '4/12/2021 18:00', '75', 'Trial 1', '', '', '', '145.67', '46.89', '0.437', '5046', '300', '37.3', '73.8', '220.1', '5426', '1467', '29.3', '2199', '24.6', '1847', '3.02', '384', '-43', '1051', '22.0', '1649', '195.9', '14690.6', '190.5', '14287.4', '259.7', '19479.6', '237', '147.5', '932', '-36.6', '210.7', '50.2', '0.392', '33.8', '11', '830', '33', '2455', '79.7', '0.240', '40', '2994', '632', '813.2', '1067.7', '736', '5.671', '425', '19.4', '1456', '880', '-1.061', '-79.6', '0.64', '0.94', '597', '1798', '1456', '43.7', '17.2', '43.9', '44.0', '17.3', '2931.09', '1070.9', '383.3', '0.869', '0.884', '109.2', '111.0', '14.8', '65.5', '4911', '14.821', '607.2', '306.3', '0.47', '3.084', '3.521', '3.281', '2.889', '2.889', '18.299', '24.6', '1847', '0.195', '931', '2.731', '1296.214', '82.958', '38.519', '56631', '912.442', '38.519', '48', '3624', '8804', '1.138', '', '3.2', '-11.4', '-8.3', '-0.8', '15.9', '-0.8', '3.2', '40.3', '', '-5.1', '-6.9', '-61.8', '-23.1', '-6.8', '-21.2', '-5.9', '-10.0', '-4.8', '4.9', '-10.0', '-6.6', '4.9', '0.1', '-3.6', '', '3.2', '17.9', '6.4', '', '', '2495', '2577', '39.3', '34.8', '76.9', '70.5', '221.3', '219.5', '2490', '2962', '737', '730', '913', '943', '617', '1032', '', '', '51.5', '48.9', '183.9', '171.3', '1363', '521', '1548', '1191', '132.6', '123.6', '1675', '1319', '379', '357', '766', '690', '107.0', '101.8', '877', '922', '766', '690', '113.5', '106.0', '107.8', '113.4', '694.8', '695.6', '352.9', '340.3', '', '', '913', '943', '31623', '38533', '2056', '2196', '11.7', '0.18', '1.02', '2.94', '-7.5', '100.0', '58.7', '27.0', '11.2', '-26.2', '0.35', '0.32', '-278', '235', '307', '744', '162', '222', '0.95', '1.07', '49.3', '36.4']
['Athlete 2', 'pkavanag', 'Countermovement Jump', '4/12/2021 18:00', '75', 'Trial 2', '', '', '', '150.77', '50.20', '0.490', '4080', '325', '41.7', '78.7', '227.1', '6194', '1432', '29.7', '2225', '23.7', '1779', '3.10', '-434', '-1785', '-775', '10.4', '781', '228.2', '17117.2', '194.0', '14549.0', '232.9', '17468.5', '268', '149.9', '976', '-43.6', '200.3', '51.4', '0.428', '31.9', '24', '1779', '33', '2494', '85.7', '0.223', '50', '3739', '651', '800.8', '1120.1', '736', '6.557', '492', '20.9', '1570', '1015', '-1.145', '-85.9', '0.64', '0.95', '620', '1734', '1570', '47.1', '18.6', '46.5', '46.7', '18.4', '2803.59', '1096.9', '347.3', '0.919', '0.932', '116.0', '111.0', '13.9', '65.5', '4911', '13.913', '636.3', '318.0', '0.48', '10.491', '10.981', '10.758', '10.330', '10.330', '17.699', '23.7', '1779', '0.161', '1046', '2.832', '1063.700', '75.523', '37.643', '50123', '957.103', '37.643', '47', '3559', '8467', '1.246', '', '2.5', '4.6', '4.7', '1.0', '12.2', '1.0', '2.5', '-25.8', '', '1.1', '-0.1', '-20.5', '12.4', '5.6', '13.8', '2.1', '6.5', '-1.9', '3.1', '6.5', '0.7', '1.3', '-9.7', '2.6', '', '2.5', '-17.4', '-16.2', '', '', '2015', '2067', '38.3', '40.2', '74.3', '77.9', '231.9', '234.2', '2924', '3332', '712', '720', '878', '901', '449', '333', '', '', '51.1', '51.7', '196.2', '196.1', '1022', '812', '1180', '1347', '121.3', '128.5', '1731', '2009', '364', '372', '758', '811', '115.6', '113.4', '854', '881', '758', '811', '117.2', '118.0', '114.7', '116.2', '758.6', '685.3', '351.4', '360.8', '', '', '878', '901', '27780', '22944', '1945', '1629', '13.5', '0.21', '0.96', '3.03', '3.7', '100.0', '100.0', '-67.9', '0.6', '-23.3', '0.32', '0.33', '-589', '-1196', '-245', '-530', '-272', '-162', '0.98', '0.99', '58.6', '45.0']
['Athlete 2', 'pkavanag', 'Countermovement Jump', '4/12/2021 18:00', '75', 'Trial 3', '', '', '', '147.74', '50.27', '0.458', '3797', '310', '47.9', '88.8', '225.1', '5850', '1460', '30.9', '2315', '23.3', '1745', '3.09', '-1562', '-2534', '-1152', '1.4', '104', '276.1', '20710.9', '229.8', '17237.6', '245.8', '18432.0', '249', '151.6', '911', '-46.0', '193.9', '50.4', '0.383', '36.1', '16', '1214', '41', '3062', '95.7', '0.218', '60', '4507', '601', '814.8', '1174.5', '736', '7.486', '561', '22.9', '1719', '1183', '-1.279', '-95.9', '0.69', '1.04', '628', '1708', '1719', '48.3', '19.0', '45.8', '45.8', '18.0', '3052.03', '1273.4', '316.4', '0.850', '0.862', '125.6', '99.5', '13.5', '64.2', '4817', '13.459', '662.5', '327.8', '0.53', '19.458', '19.916', '19.698', '19.315', '19.315', '15.899', '23.3', '1745', '0.143', '1058', '2.821', '768.249', '54.546', '25.353', '37141', '1082.290', '25.353', '35', '2637', '7074', '1.249', '', '0.4', '-0.7', '-0.7', '4.3', '-27.3', '4.4', '0.4', '38.5', '', '0.1', '2.5', '15.4', '2.2', '2.6', '2.0', '4.5', '-0.2', '7.0', '3.9', '-0.2', '0.1', '8.9', '10.3', '2.8', '', '0.4', '29.7', '20.4', '', '', '1897', '1904', '42.5', '42.2', '81.5', '80.9', '221.5', '231.6', '3408', '2478', '714', '746', '872', '875', '40', '65', '', '', '50.4', '50.4', '184.1', '188.8', '682', '806', '1580', '1616', '126.3', '129.7', '2231', '2276', '359', '376', '860', '858', '89.5', '96.3', '837', '871', '860', '858', '119.8', '119.9', '101.8', '111.7', '700.9', '781.6', '347.5', '357.6', '', '', '872', '875', '22632', '32196', '1358', '1706', '15.8', '0.25', '0.79', '3.00', '-5.0', '3.5', '-31.0', '47.2', '8.8', '19.3', '0.37', '0.35', '-1245', '-1289', '-653', '-499', '-632', '-930', '0.85', '0.93', '28.8', '35.6']
['Athlete 3', 'mmirer', 'Countermovement Jump', '4/12/2021 17:59', '95.8', 'Trial 1', '', '', '', '119.88', '40.12', '0.398', '5489', '332', '35.5', '79.4', '269.0', '4684', '1747', '26.2', '2509', '21.4', '2050', '2.88', '174', '1704', '1425', '15.7', '1501', '128.9', '12348.1', '159.4', '15274.4', '191.1', '18305.3', '241', '150.3', '992', '-37.3', '198.8', '53.8', '0.429', '59.1', '27', '2553', '31', '3013', '101.0', '0.231', '34', '3236', '660', '1087.9', '1376.6', '940', '5.540', '531', '18.1', '1738', '1195', '-1.058', '-101.4', '0.60', '0.90', '591', '1942', '1688', '42.8', '16.9', '40.0', '40.1', '15.8', '3346.36', '1204.1', '488.5', '0.901', '0.936', '135.0', '134.0', '11.6', '52.8', '5058', '11.588', '667.8', '377.6', '0.43', '4.180', '4.578', '4.347', '3.918', '3.918', '19.177', '21.4', '2050', '0.262', '1186', '2.604', '2125.823', '99.914', '34.848', '91019', '995.134', '34.848', '45', '4278', '10668', '1.036', '', '2.8', '9.2', '5.1', '1.1', '-8.8', '1.1', '2.8', '-39.6', '', '7.7', '14.1', '57.7', '23.4', '17.8', '22.8', '8.7', '22.1', '-1.9', '-0.4', '12.9', '1.5', '0.6', '5.0', '7.5', '', '2.8', '-15.3', '1.0', '', '', '2713', '2791', '39.3', '43.2', '84.4', '88.9', '288.9', '292.0', '3234', '2950', '869', '878', '1013', '1042', '936', '566', '', '', '51.6', '55.9', '200.1', '232.9', '700', '1654', '1296', '1692', '143.5', '174.6', '1410', '1826', '448', '491', '786', '1008', '152.3', '149.4', '973', '969', '786', '902', '144.4', '146.6', '144.5', '145.5', '697.0', '733.6', '429.3', '464.1', '', '', '1013', '1042', '48649', '41225', '2286', '2309', '12.5', '0.24', '0.99', '2.80', '4.1', '-93.0', '-43.5', '-100.0', '-0.9', '27.6', '0.29', '0.30', '1592', '112', '910', '514', '656', '-482', '1.00', '0.99', '47.0', '64.9']
['Athlete 3', 'mmirer', 'Countermovement Jump', '4/12/2021 17:59', '95.8', 'Trial 2', '', '', '', '112.14', '39.53', '0.351', '5639', '313', '56.1', '103.2', '272.6', '', '1808', '28.7', '2745', '22.2', '2128', '2.92', '-3182', '-3047', '-604', '0.0', '0', '240.5', '23036.5', '205.0', '19639.6', '209.3', '20050.3', '0', '154.4', '888', '-38.1', '183.7', '52.0', '0.400', '63.3', '22', '2107', '52', '5025', '125.1', '0.175', '71', '6771', '575', '1120.1', '1653.8', '941', '6.486', '621', '22.4', '2148', '1791', '-1.305', '-125.1', '0.65', '1.00', '575', '1932', '2128', '40.5', '16.0', '41.2', '41.3', '16.3', '4683.47', '1545.3', '364.0', '0.562', '0.826', '152.3', '120.3', '12.6', '52.5', '5034', '12.402', '703.2', '405.3', '0.46', '12.438', '12.789', '12.614', '12.214', '12.214', '19.777', '22.4', '2148', '0.224', '1220', '2.605', '2774.841', '166.490', '60.629', '112462', '727.398', '60.629', '70', '6748', '13048', '0.427', '', '14.4', '26.3', '24.6', '8.6', '', '8.7', '14.4', '0.0', '', '-1.3', '10.6', '48.0', '39.6', '20.7', '38.4', '7.4', '23.9', '-9.6', '-4.8', '26.9', '19.8', '-5.2', '19.3', '13.3', '', '14.4', '9.4', '6.3', '', '', '2763', '3229', '43.7', '59.3', '84.7', '112.4', '270.5', '296.1', '', '', '863', '945', '1052', '1229', '0', '0', '', '', '52.4', '51.7', '185.5', '207.5', '731', '1407', '1905', '3152', '128.1', '161.5', '2581', '4191', '452', '488', '936', '1230', '131.7', '119.0', '990', '943', '898', '1229', '133.1', '165.8', '137.5', '130.3', '606.2', '750.8', '395.0', '455.6', '', '', '1052', '1230', '54067', '59654', '3298', '3520', '18.7', '0.36', '0.79', '2.85', '17.5', '100.0', '-100.0', '95.7', '-23.9', '-0.2', '0.31', '0.38', '-774', '-2273', '620', '-1224', '-1076', '-2106', '1.03', '0.79', '70.8', '70.6']
['Athlete 3', 'mmirer', 'Countermovement Jump', '4/12/2021 17:59', '95.8', 'Trial 3', '', '', '', '118.79', '43.27', '0.373', '6070', '314', '54.5', '105.7', '271.8', '', '1803', '28.6', '2743', '22.4', '2147', '2.92', '-3396', '-2683', '-808', '0.0', '0', '234.4', '22452.2', '216.2', '20710.9', '205.2', '19658.1', '0', '157.3', '862', '-36.2', '174.5', '52.2', '0.374', '47.0', '13', '1239', '48', '4616', '119.3', '0.174', '73', '6953', '548', '1065.9', '1624.6', '940', '6.463', '619', '22.9', '2196', '1610', '-1.246', '-119.3', '0.66', '1.04', '568', '1894', '2147', '39.5', '15.6', '40.9', '41.0', '16.2', '4894.81', '1618.5', '425.3', '0.532', '0.801', '155.0', '116.8', '13.1', '51.9', '4975', '12.604', '755.0', '399.0', '0.46', '20.299', '20.672', '20.498', '20.124', '20.124', '17.377', '22.9', '2196', '0.175', '1204', '2.627', '1452.606', '111.851', '36.368', '57448', '1099.316', '36.368', '46', '4424', '9589', '1.039', '', '16.5', '24.9', '22.7', '8.0', '', '8.0', '16.1', '0.0', '', '-1.0', '7.9', '38.5', '41.7', '12.5', '36.6', '7.1', '21.0', '0.0', '-6.1', '25.6', '18.3', '-5.0', '9.4', '10.1', '', '16.5', '36.5', '34.0', '', '', '2854', '3416', '43.5', '58.0', '87.0', '112.6', '271.6', '295.2', '', '', '864', '939', '1033', '1231', '0', '0', '', '', '52.4', '51.9', '190.5', '206.8', '793', '1289', '1892', '3243', '131.9', '150.8', '2699', '4255', '453', '488', '976', '1236', '116.0', '116.0', '976', '917', '916', '1231', '136.0', '166.5', '135.5', '128.8', '795.4', '878.3', '398.8', '443.6', '', '', '1033', '1236', '22795', '35893', '1801', '2728', '16.8', '0.32', '0.75', '2.84', '16.0', '100.0', '-100.0', '100.0', '-22.3', '-45.0', '0.32', '0.38', '-663', '-2020', '372', '-1180', '-954', '-2442', '1.00', '0.77', '84.6', '46.5']
['Athlete 4', '', 'Countermovement Jump', '4/12/2021 17:57', '85', 'Trial 1', '', '', '', '152.63', '48.39', '0.406', '5773', '266', '50.9', '102.8', '240.6', '1438', '1735', '30.8', '2616', '23.0', '1957', '2.92', '1002', '514', '579', '9.1', '770', '262.8', '22340.9', '265.5', '22568.9', '272.2', '23138.4', '185', '146.4', '839', '-33.9', '215.4', '48.1', '0.361', '35.1', '17', '1462', '43', '3657', '93.9', '0.212', '54', '4629', '573', '920.5', '1276.6', '835', '5.793', '492', '21.4', '1815', '1082', '-1.101', '-93.6', '0.68', '1.00', '574', '1864', '1815', '40.4', '15.9', '40.8', '41.0', '16.1', '4379.24', '1392.1', '330.0', '0.758', '0.784', '137.2', '103.4', '13.2', '57.5', '4889', '13.222', '627.0', '341.9', '0.48', '6.513', '6.919', '6.707', '6.346', '6.346', '19.765', '23.0', '1957', '0.167', '981', '2.623', '3433.346', '185.401', '78.287', '138667', '573.262', '78.287', '88', '7488', '14315', '0.505', '', '5.6', '0.5', '2.2', '6.0', '-10.9', '6.0', '5.6', '44.6', '', '4.9', '7.0', '-6.9', '-9.0', '-1.0', '-4.7', '10.5', '1.2', '23.8', '6.8', '1.2', '3.6', '8.7', '16.6', '3.3', '', '5.6', '10.2', '10.2', '', '', '2810', '2977', '46.2', '46.4', '92.0', '94.1', '224.0', '238.3', '918', '818', '841', '894', '953', '1010', '275', '496', '', '', '46.9', '49.3', '180.0', '193.6', '1264', '1177', '2029', '1846', '136.0', '134.6', '2370', '2259', '394', '441', '902', '913', '89.7', '117.7', '899', '965', '902', '913', '121.7', '126.3', '102.3', '112.0', '550.7', '660.6', '357.9', '370.0', '', '', '953', '1010', '65607', '73059', '3543', '3945', '12.7', '0.22', '0.75', '2.83', '-3.9', '98.8', '50.4', '-11.7', '5.3', '21.9', '0.41', '0.39', '6', '508', '192', '387', '532', '470', '0.84', '0.89', '53.9', '69.0']
['Athlete 4', '', 'Countermovement Jump', '4/12/2021 17:57', '85', 'Trial 2', '', '', '', '126.39', '45.11', '0.364', '5117', '288', '56.5', '106.5', '248.4', '', '1694', '31.2', '2649', '23.5', '1995', '3.00', '-1672', '-2335', '-874', '37.6', '3200', '293.2', '24919.6', '256.8', '21826.7', '240.9', '20480.2', '1', '155.5', '807', '-39.0', '180.2', '49.2', '0.336', '48.9', '34', '2868', '58', '4959', '114.0', '0.183', '74', '6310', '519', '968.2', '1456.1', '834', '7.353', '625', '23.4', '1993', '1548', '-1.346', '-114.4', '0.73', '1.14', '592', '1770', '1992', '43.0', '16.9', '43.2', '43.4', '17.1', '4631.63', '1672.6', '186.9', '0.520', '0.756', '145.2', '103.2', '13.7', '57.2', '4865', '13.666', '673.2', '369.4', '0.53', '15.408', '15.772', '15.589', '15.253', '15.253', '18.465', '23.5', '1995', '0.155', '1091', '2.748', '3315.883', '185.689', '84.045', '142454', '585.493', '84.045', '94', '7977', '14847', '0.620', '', '4.0', '6.0', '7.2', '7.2', '', '7.2', '4.0', '100.0', '', '8.0', '11.6', '74.8', '8.4', '7.2', '-7.8', '14.6', '3.6', '25.4', '5.2', '3.4', '7.8', '6.5', '14.0', '7.1', '', '4.0', '5.2', '5.2', '', '', '2510', '2616', '47.6', '50.6', '91.4', '98.5', '235.2', '253.3', '', '', '815', '878', '979', '1020', '-1200', '4400', '', '', '47.1', '51.2', '165.3', '186.9', '570', '2261', '2354', '2570', '128.3', '138.2', '3284', '3026', '384', '450', '979', '1015', '70.8', '94.8', '862', '908', '979', '1013', '127.3', '138.0', '107.9', '115.3', '553.2', '643.3', '361.4', '388.9', '', '', '979', '1020', '69338', '73116', '3883', '4094', '18.2', '0.32', '0.71', '2.92', '0.0', '-56.6', '-12.0', '-100.0', '-1.4', '1.1', '0.39', '0.39', '-1425', '-910', '-462', '-412', '-1350', '-322', '0.85', '0.84', '71.6', '72.4']
['Athlete 4', '', 'Countermovement Jump', '4/12/2021 17:57', '85', 'Trial 3', '', '', '', '124.64', '42.51', '0.349', '5405', '280', '61.2', '115.2', '250.8', '', '1727', '32.6', '2769', '24.7', '2096', '3.04', '-2118', '-2508', '-1328', '5.9', '500', '336.3', '28585.5', '293.2', '24920.9', '255.1', '21685.2', '10', '151.8', '821', '-38.8', '193.2', '48.4', '0.356', '58.0', '45', '3859', '64', '5453', '113.4', '0.185', '80', '6804', '541', '1000.0', '1446.4', '835', '7.015', '596', '24.6', '2090', '1497', '-1.331', '-113.2', '0.73', '1.11', '603', '1781', '2090', '44.6', '17.5', '44.4', '44.5', '17.5', '4908.40', '1631.9', '187.5', '0.551', '0.770', '152.8', '98.0', '14.8', '58.5', '4971', '14.846', '653.8', '371.7', '0.54', '22.579', '22.928', '22.743', '22.387', '22.387', '16.065', '24.7', '2096', '0.192', '1101', '2.791', '3305.302', '171.876', '80.322', '147325', '612.638', '80.322', '90', '7661', '14702', '0.290', '', '-5.0', '-3.8', '-2.7', '-2.0', '', '-2.0', '-5.0', '100.0', '', '14.0', '11.6', '61.6', '-9.0', '2.6', '-21.1', '12.2', '-5.4', '24.7', '0.0', '-5.4', '-1.8', '-2.2', '0.1', '0.3', '', '-5.0', '-28.7', '-20.0', '', '', '2774', '2636', '52.5', '50.5', '100.6', '97.9', '244.5', '239.7', '', '', '872', '855', '1076', '1022', '0', '500', '', '', '44.8', '52.0', '163.7', '185.2', '966', '2515', '2810', '2557', '132.0', '135.6', '3804', '3000', '390', '445', '1074', '1016', '78.9', '104.7', '890', '891', '1074', '1016', '136.0', '133.6', '108.6', '106.2', '603.7', '604.5', '372.4', '373.5', '', '', '1076', '1022', '98851', '70458', '4844', '3875', '17.6', '0.30', '0.64', '2.95', '-0.8', '-58.0', '-69.7', '-90.1', '-0.5', '0.3', '0.41', '0.41', '-1536', '-972', '-836', '-492', '-1388', '-730', '0.80', '0.79', '68.5', '68.7']
['Athlete 5', 'mfay3', 'Countermovement Jump', '4/12/2021 17:55', '84.3', 'Trial 1', '', '', '', '135.27', '47.61', '0.349', '6622', '258', '47.4', '95.7', '234.4', '5204', '1732', '30.0', '2532', '24.8', '2088', '2.88', '-272', '856', '561', '23.0', '1942', '232.9', '19633.9', '250.2', '21095.3', '287.9', '24267.0', '156', '154.3', '733', '-31.5', '184.1', '47.8', '0.298', '34.0', '24', '1995', '53', '4480', '105.0', '0.177', '65', '5438', '475', '924.2', '1419.3', '827', '6.497', '548', '21.2', '1788', '1380', '-1.250', '-105.4', '0.80', '1.23', '584', '1909', '1785', '41.8', '16.5', '39.3', '39.3', '15.5', '4966.50', '1703.5', '221.7', '0.631', '0.674', '128.6', '105.8', '15.0', '57.4', '4836', '14.964', '674.4', '347.8', '0.57', '4.586', '4.935', '4.758', '4.460', '4.460', '19.001', '24.8', '2088', '0.126', '917', '2.533', '2418.316', '113.661', '46.562', '101104', '737.985', '46.562', '56', '4752', '11607', '0.859', '', '-6.9', '-12.3', '-9.8', '-11.2', '-0.5', '-11.3', '-6.9', '42.3', '', '15.1', '8.6', '-47.4', '-36.4', '-5.3', '-37.3', '4.4', '-16.0', '20.1', '-10.5', '-16.0', '-8.9', '-13.7', '-25.2', '-8.3', '', '-6.9', '-55.4', '-44.3', '', '', '3433', '3196', '47.3', '41.5', '93.8', '84.6', '237.2', '210.5', '2638', '2626', '918', '814', '1082', '1008', '711', '1231', '', '', '44.1', '51.9', '154.0', '168.5', '2428', '1276', '3085', '1961', '129.1', '122.2', '3342', '2096', '404', '423', '973', '818', '62.6', '78.4', '1007', '902', '970', '815', '123.1', '112.1', '114.0', '98.4', '730.7', '546.2', '361.6', '331.7', '', '', '1082', '1008', '76533', '34098', '3674', '2046', '16.4', '0.29', '0.82', '2.78', '1.6', '100.0', '59.6', '100.0', '-5.2', '-34.3', '0.40', '0.40', '-18', '874', '161', '400', '-904', '632', '0.93', '0.88', '62.0', '40.7']
